Dog breed,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $"
Additional info,,American Kennel Club group,,,"1- 173, 1 = most poular, US. American Kennel Club registrations 2011, pure breeds only",ranking within breeds with full data only,,"in descending rank (higher score = better),  normalized as percentage",,1 = easiest to train / learn new commands,"in descending rank (higher score = better),  normalized as percentage","years, weighted average - see note","in ascending rank order (higher score = better), normalized as percentage",serious only,0 = 100% ... 9 = 0%,"mean, from puppyfind.com",reverse ranked percentile,,reverse ranked percentile,once every.. 1=day. 2=week 3=few weeks,"once every few weeks 100%, week 75%, day 50%",1 - highly suitable. 2 - medium suitability. 3 - low suitability ,"100% = highly suitable, 50% = medum, 0% = low",,intelligence + longevity + ailments + cost scores (50% each) + 100% grooming score. highest possible score: 5,,,intelligence + longevity + ailments + 50% (purchase price + food costs + grooming score). highest possible score: 4.5,"pure breeds, American Kennel Club 2011",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,,<20 = not trustworthy,only serious + common for breed,only serious + common for breed,X = exclude,no data,,,"in descending rank (higher score = better),  normalized as percentage","mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,,food per week x 52.1775 x average lifespan (column N),,"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews."
Border Collie,,herding,,3.64,45,39,"$20,143",48%,,1,100%,12.52,79%,2,78%,$623,71%,$324,68%,2,75%,3,0%,,4.02,1,29,3.64,45,,medium,no data,no data,51,20,,,Brightest,<5,>95,164,"eye problems, deafness","Collie eye anomaly, deafness",,,,"17,404",48%,623,budget,175,1050,4,4,4,5.34,278,"3,486",,"13,095","1,046",784,121,126,244,177,116,200
Border Terrier,,terrier,,3.61,80,61,"$22,638",14%,,30,70%,14.00,98%,0,100%,$833,44%,$324,68%,2,75%,1,100%,,4.99,2,1,3.61,80,,small,6,13.5,no data,no data,,,Above average,15-25,>70,177,none,none,,,,"19,575",14%,833,mid-price,250,1200,4,4,4,5.34,278,"3,898",,"14,643","1,046",784,121,126,244,177,116,200
Brittany,,sporting,,3.54,30,30,"$22,589",16%,,19,80%,12.92,89%,0,100%,$618,72%,$466,23%,2,75%,2,50%,,4.42,3,11,3.54,30,,medium,16,35,48,19,,,Excellent,5-15,>85,28,none,none,,,,"19,503",16%,618,budget,300,1200,5.75,4,7.5,7.67,400,"5,171",,"13,514","1,046",784,121,126,244,177,116,200
Cairn Terrier,,terrier,,3.53,59,48,"$21,992",22%,,35,61%,13.84,95%,2,78%,$435,95%,$324,68%,2,75%,1,100%,,4.91,4,2,3.53,59,,small,6,14,25,10,,,Above average,15-25,>70,156,"'lion jaw', heart problems  ","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",,,,"18,965",23%,435,budget,300,600,4,4,4,5.34,278,"3,854",,"14,476","1,046",784,121,126,244,177,116,200
Welsh Springer Spaniel,,sporting,,3.34,130,81,"$20,224",47%,,31,69%,12.49,77%,1,89%,$750,55%,$324,68%,2,75%,1,100%,,4.71,5,4,3.34,130,,medium,no data,no data,46,18,,only one dog for sale,Above average,15-25,>70,172,hip problems,hip dysplasia,,,,"17,492",46%,750,mid-price,750,750,4,4,4,5.34,278,"3,478",,"13,064","1,046",784,121,126,244,177,116,200
English Cocker Spaniel,,sporting,,3.33,63,51,"$18,993",63%,,18,82%,11.66,54%,0,100%,$800,52%,$324,68%,2,75%,1,100%,,4.70,6,5,3.33,63,,medium,14,30,41,16,,,Excellent,5-15,>85,1199,none,none,,,,"16,442",63%,800,mid-price,600,1000,4,4,4,5.34,278,"3,247",,"12,196","1,046",784,121,126,244,177,116,200
Cocker Spaniel,,sporting,,3.3,27,27,"$24,330",9%,,20,79%,12.50,78%,2,78%,$465,93%,$674,21%,2,75%,1,100%,,4.67,7,6,3.30,27,,small,11,25,37,14.5,,American cocker spaniel,Excellent,5-15,>85,-,"eye, skin problems","Retinal dysplasia, seborrhea",,,,"19,888",11%,465,budget,250,800,-,-,-,9,492,"6,149",,"13,074","1,046",784,121,126,244,177,116,200
Papillon,,toy,,3.26,38,33,"$21,001",36%,,8,92%,13.00,90%,5,44%,$740,56%,$324,68%,2,75%,2,50%,,4.13,8,22,3.26,38,,small,no data,no data,24,9.5,,,Brightest,<5,>95,100,"cataracts, hair loss, heart, eye, blood clotting disorders","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease",,,,"18,157",37%,740,mid-price,400,1000,4,4,4,5.34,278,"3,620",,"13,597","1,046",784,121,126,244,177,116,200
Australian Cattle Dog,,herding,,3.25,60,49,"$20,395",43%,,10,90%,11.67,55%,1,89%,$530,85%,$466,23%,2,75%,3,0%,,3.63,9,52,3.25,60,,medium,no data,no data,47,18.5,,,Brightest,<5,>95,11,hip problems,hip dysplasia,,,,"17,607",43%,530,budget,250,1000,5.75,4,7.5,7.67,400,"4,671",,"12,206","1,046",784,121,126,244,177,116,200
Shetland Sheepdog,,herding,,3.22,20,20,"$21,006",34%,,6,94%,12.53,80%,5,44%,$465,93%,$405,63%,1,50%,1,100%,,4.47,11,8,3.22,20,,small,10.15,22,37,14.5,,,Brightest,<5,>95,439,"eye problems, deafness, skin + heart problems, blood clotting disorders","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease",,,,"17,469",47%,465,budget,150,1000,-,-,-,6,295,"3,698",,"13,106","1,046",784,121,126,244,177,116,200
Siberian Husky,,working,,3.22,16,16,"$22,049",20%,,45,45%,12.58,83%,0,100%,$650,67%,$466,23%,3,100%,1,100%,,4.72,10,3,3.22,16,,medium,22,47.5,55,21.75,,Longevity based on UK KC Survey 2004,Average,25-40,>50,129,none,none,,,,"19,043",21%,650,budget,450,1000,5.75,4,7.5,7.67,400,"5,035",,"13,158","1,046",784,121,126,244,177,116,200
Lhasa Apso,,non-sporting,,3.21,62,50,"$22,031",21%,,68,15%,13.92,97%,1,89%,$350,98%,$324,68%,2,75%,1,100%,,4.58,12,7,3.21,62,,small,7,15,27,10.5,,,Fair,40-80,>30,91,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",,,,"18,985",22%,350,budget,175,550,4,4,4,5.34,278,"3,876",,"14,560","1,046",784,121,126,244,177,116,200
Affenpinscher,,toy,,3.2,139,84,"$18,333",72%,,37,56%,11.42,47%,0,100%,$510,90%,$324,68%,2,75%,2,50%,,4.07,13,26,3.20,139,,small,no data,no data,26,10.25,,,Above average,15-25,>70,21,none,none,,,,"15,835",71%,510,budget,200,800,4,4,4,5.34,278,"3,180",,"11,945","1,046",784,121,126,244,177,116,200
Dachshund,,hound,,3.19,9,9,"$20,113",49%,,49,37%,12.63,85%,2,78%,$423,97%,$324,68%,2,75%,3,0%,,3.57,14,54,3.19,9,,small,11,24,no data,no data,,,Average,25-40,>50,265,"skin, spinal problems","acanthosis nigricans, Intervertebral disk disease",,,,"17,350",49%,423,budget,125,750,4,4,4,5.34,278,"3,517",,"13,210","1,046",784,121,126,244,177,116,200
Miniature Schnauzer,,terrier,,3.19,12,12,"$20,087",51%,,12,87%,11.81,56%,2,78%,$715,57%,$405,63%,2,75%,2,50%,,4.07,14,27,3.19,12,,small,7,15.5,33,13,,,Excellent,5-15,>85,232,"liver, sinus problems","Portosystemic shunt, Sick sinus syndrome",,,,"16,753",60%,715,mid-price,200,1600,-,-,-,6,295,"3,486",,"12,353","1,046",784,121,126,244,177,116,200
Chihuahua,,toy,,3.15,14,14,"$26,250",2%,,67,16%,16.50,100%,1,89%,$588,78%,$324,68%,2,75%,3,0%,,3.53,16,55,3.15,14,,small,2,5.5,13,5,,weight should not exceed 6 pounds,Fair,40-80,>30,-,knee problems,Patellar luxation,,,,"22,640",1%,588,budget,200,1500,4,4,4,5.34,278,"4,594",,"17,258","1,046",784,121,126,244,177,116,200
Australian Terrier,,terrier,,3.11,121,77,"$17,892",76%,,34,64%,11.05,40%,0,100%,$640,70%,$324,68%,2,75%,2,50%,,3.99,17,30,3.11,121,,small,no data,no data,27,10.5,,,Above average,15-25,>70,241,none,none,,,,"15,475",75%,640,budget,200,900,4,4,4,5.34,278,"3,077",,"11,558","1,046",784,121,126,244,177,116,200
Whippet,,hound,,3.11,57,46,"$20,976",38%,,51,34%,12.87,87%,0,100%,$915,36%,$324,68%,2,75%,2,50%,,3.99,17,30,3.11,57,,medium,no data,no data,51,20,,,Average,25-40,>50,500,none,none,,,,"18,160",36%,915,mid-price,650,1200,4,4,4,5.34,278,"3,584",,"13,461","1,046",784,121,126,244,177,116,200
English Springer Spaniel,,sporting,,3.09,29,29,"$21,946",24%,,13,86%,12.54,82%,4,56%,$615,74%,$466,23%,2,75%,1,100%,,4.47,19,9,3.09,29,,medium,20,45,50,19.5,,,Excellent,5-15,>85,194,"hip, eye, skin problems; enzyme deficiency","Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea",,,,"18,950",24%,615,budget,450,1500,5.75,4,7.5,7.67,400,"5,019",,"13,116","1,046",784,121,126,244,177,116,200
West Highland White Terrier,,terrier,,3.08,35,32,"$20,490",41%,,47,41%,12.80,86%,3,67%,$538,84%,$324,68%,2,75%,1,100%,,4.45,20,10,3.08,35,,small,no data,no data,27,10.5,,,Average,25-40,>50,80,"'lion jaw', 'dry eye', skin problems","Craniomandibular osteopathy (""lion jaw""), Keratoconjunctivitis sicca (KCS) - ""dry eye"", seborrhea",,,,"17,690",40%,538,budget,275,750,4,4,4,5.34,278,"3,564",,"13,388","1,046",784,121,126,244,177,116,200
Bedlington Terrier,,terrier,,3.07,134,83,"$22,107",17%,,40,54%,13.51,93%,2,78%,"$1,058",22%,$324,68%,2,75%,2,50%,,3.95,21,35,3.07,134,,small,9,20,no data,no data,,Price: only 6 puppies for breed,Average,25-40,>50,54,"liver, eye problems","Chronic hepatitis, Retinal dysplasia",,,,"19,151",17%,"1,058",mid-price,250,1800,4,4,4,5.34,278,"3,762",,"14,131","1,046",784,121,126,244,177,116,200
Poodle,,non-sporting,,3.04,8,8,"$21,237",31%,,2,99%,11.95,60%,2,78%,$900,38%,$466,23%,2,75%,2,50%,,3.92,22,39,3.04,8,,medium,no data,no data,41,16,,15 in is min height for standard poodle,Brightest,<5,>95,1178,"fatal stomach bloat, skin disorder","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)",,,,"18,382",31%,900,mid-price,500,1500,5.75,4,7.5,7.67,400,"4,783",,"12,499","1,046",784,121,126,244,177,116,200
Bichon Frise,,non-sporting,,3.03,39,34,"$19,735",54%,,45,45%,12.21,68%,0,100%,$693,62%,$324,68%,1,50%,1,100%,,4.28,25,16,3.03,39,,small,no data,no data,27,10.5,,,Average,25-40,>50,146,none,none,,,,"17,063",53%,693,budget,250,1500,4,4,4,5.34,278,"3,400",,"12,771","1,046",784,121,126,244,177,116,200
German Shorthaired Pointer,,sporting,,3.03,15,15,"$25,842",3%,,17,84%,11.46,49%,1,89%,$545,83%,$971,5%,2,75%,1,100%,,4.41,23,12,3.03,15,,large,28,62.5,61,24,,,Excellent,5-15,>85,203,hip problems,hip dysplasia,,,,"20,849",9%,545,budget,200,850,-,-,-,14,708,"8,117",,"11,987","1,046",784,121,126,244,177,116,200
Pointer,,sporting,,3.03,115,74,"$24,445",8%,,43,49%,12.42,75%,1,89%,$294,99%,$710,6%,2,75%,1,100%,,4.40,24,13,3.03,115,,large,27,59.5,65,25.5,,English Pointer. price: 8 puppies for sale only,Average,25-40,>50,145,hip problems,hip dysplasia,,,,"21,049",8%,294,budget,50,500,8.75,7.5,10,11.67,609,"7,565",,"12,991","1,046",784,121,126,244,177,116,200
Tibetan Spaniel,,non-sporting,,3.02,114,73,"$25,549",5%,,46,43%,14.42,99%,0,100%,"$1,050",24%,$466,23%,2,75%,1,100%,,4.40,26,14,3.02,114,,small,5,12,25,10,,,Average,25-40,>50,125,none,none,,,,"22,104",2%,"1,050",mid-price,500,2000,5.75,4,7.5,7.67,400,"5,772",,"15,083","1,046",784,121,126,244,177,116,200
Labrador Retriever,,sporting,,2.97,1,1,"$21,299",30%,,7,93%,12.04,63%,3,67%,$810,51%,$466,23%,2,75%,1,100%,,4.35,27,15,2.97,1,,medium,31,67.5,58,23,,,Brightest,<5,>95,1101,"elbows, hips, eyes","elbow dysplasia, hip dysplasia, retinal dysplasia",,,,"18,422",30%,810,mid-price,299,1500,5.75,4,7.5,7.67,400,"4,819",,"12,593","1,046",784,121,126,244,177,116,200
Maltese,,toy,,2.93,23,23,"$19,084",62%,,59,25%,12.25,69%,1,89%,$650,69%,$270,100%,1,50%,3,0%,,3.18,29,65,2.93,23,,small,2,5,23,9,,,Fair,40-80,>30,42,heart problems,Patent ductus arteriosus (PDA),,,,"16,073",67%,650,budget,300,1000,-,-,-,4,197,"2,410",,"12,813","1,046",784,121,126,244,177,116,200
Pomeranian,,toy,,2.93,17,17,"$15,792",93%,,23,77%,9.67,23%,1,89%,$670,66%,$324,68%,2,75%,2,50%,,3.81,28,45,2.93,17,,small,2,5,no data,no data,,,Excellent,5-15,>85,29,heart problems,Patent ductus arteriosus (PDA),,,,"13,677",93%,670,budget,200,1500,4,4,4,5.34,278,"2,693",,"10,114","1,046",784,121,126,244,177,116,200
Shih Tzu,,toy,,2.93,11,11,"$21,152",32%,,70,13%,13.20,92%,1,89%,$583,80%,$324,68%,1,50%,1,100%,,4.18,29,19,2.93,11,,small,6,12.5,25,9.75,,,Lowest,80-100,<25,97,eye problems,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",,,,"18,264",32%,583,budget,275,1200,4,4,4,5.34,278,"3,675",,"13,806","1,046",784,121,126,244,177,116,200
Australian Shepherd,,herding,,2.91,24,24,"$21,458",28%,,42,52%,12.28,71%,2,78%,$565,82%,$466,23%,2,75%,2,50%,,3.78,31,46,2.91,24,,medium,no data,no data,52,20.5,,,Average,25-40,>50,641,"deafness, hip problems","deafness, hip dysplasia",,,,"18,524",29%,565,budget,250,1000,5.75,4,7.5,7.67,400,"4,915",,"12,844","1,046",784,121,126,244,177,116,200
Yorkshire Terrier,,toy,,2.85,5,5,"$20,701",39%,,27,75%,12.60,84%,4,56%,"$1,057",23%,$324,68%,1,50%,3,0%,,3.10,32,69,2.85,5,,small,2,5.5,no data,no data,,,Above average,15-25,>70,63,"knee, liver, trachea, eye disorders","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia",,,,"17,944",38%,"1,057",mid-price,275,2800,4,4,4,5.34,278,"3,508",,"13,179","1,046",784,121,126,244,177,116,200
Irish Setter,,sporting,,2.84,70,56,"$20,323",45%,,35,61%,11.63,53%,2,78%,$525,86%,$466,23%,2,75%,1,100%,,4.21,33,17,2.84,70,,large,29,65,66,26,,,Above average,15-25,>70,922,"hip, eye problems","Hip dysplasia, Progressive retinal atrophy",,,,"17,544",45%,525,budget,300,1000,5.75,4,7.5,7.67,400,"4,655",,"12,164","1,046",784,121,126,244,177,116,200
Pharaoh Hound,,hound,,2.81,151,86,"$21,047",33%,,37,56%,11.83,57%,0,100%,$913,37%,$466,23%,2,75%,2,50%,,3.69,34,47,2.81,151,,medium,no data,no data,58,23,,price: 6 puppies for sale only,Above average,15-25,>70,15,none,none,,,,"18,221",33%,913,mid-price,475,1000,5.75,4,7.5,7.67,400,"4,735",,"12,374","1,046",784,121,126,244,177,116,200
Brussels Griffon,,toy,,2.8,77,59,"$19,551",57%,,59,25%,12.00,61%,0,100%,$833,45%,$324,68%,2,75%,3,0%,,3.18,36,66,2.80,77,,small,4,9,no data,no data,,,Fair,40-80,>30,71,none,none,,,,"16,925",56%,833,mid-price,500,1500,4,4,4,5.34,278,"3,341",,"12,551","1,046",784,121,126,244,177,116,200
Golden Retriever,,sporting,,2.8,4,4,"$21,447",29%,,4,97%,12.04,63%,4,56%,$958,31%,$466,23%,2,75%,1,100%,,4.17,37,20,2.80,4,,medium,27,60,58,22.75,,,Brightest,<5,>95,1314,"elbows, hips, eyes, heart ","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis",,,,"18,571",28%,958,mid-price,325,2500,5.75,4,7.5,7.67,400,"4,819",,"12,593","1,046",784,121,126,244,177,116,200
Samoyed,,working,,2.8,69,55,"$25,352",6%,,33,68%,12.44,76%,1,89%,"$1,162",15%,$710,6%,2,75%,1,100%,,4.18,35,18,2.80,69,,medium,no data,no data,54,21.25,,,Above average,15-25,>70,232,hip problems,hip dysplasia,,,,"21,951",3%,"1,162",mid-price,795,1400,8.75,7.5,10,11.67,609,"7,577",,"13,012","1,046",784,121,126,244,177,116,200
Beagle,,hound,,2.79,3,3,"$19,468",59%,,73,9%,12.30,72%,1,89%,$288,100%,$324,68%,1,50%,1,100%,,4.04,38,28,2.79,3,,small,no data,no data,36,14,,,Lowest,80-100,<25,303,heart problems,Pulmonic stenosis,,,,"16,777",59%,288,budget,100,600,4,4,4,5.34,278,"3,425",,"12,865","1,046",784,121,126,244,177,116,200
Chesapeake Bay Retriever,,sporting,,2.78,46,40,"$16,697",84%,,27,75%,9.48,22%,1,89%,$522,87%,$466,23%,2,75%,1,100%,,4.16,39,21,2.78,46,,large,31,67.5,60,23.5,,,Above average,15-25,>70,776,hip problems,hip dysplasia,,,,"14,432",84%,522,budget,175,795,5.75,4,7.5,7.67,400,"3,794",,"9,916","1,046",784,121,126,244,177,116,200
Tibetan Terrier,,non-sporting,,2.75,86,64,"$20,336",44%,,62,22%,12.31,74%,0,100%,"$1,140",17%,$324,68%,2,75%,2,50%,,3.63,40,51,2.75,86,,small,11,24,39,15.5,,,Fair,40-80,>30,102,none,none,,,,"17,643",41%,"1,140",mid-price,450,1600,4,4,4,5.34,278,"3,428",,"12,876","1,046",784,121,126,244,177,116,200
Gordon Setter,,sporting,,2.73,94,69,"$19,605",56%,,34,64%,11.10,41%,1,89%,$700,59%,$466,23%,2,75%,1,100%,,4.10,41,23,2.73,94,,large,28,62.5,64,25,,3 dogs only,Above average,15-25,>70,169,hip problems,hip dysplasia,,,,"16,953",55%,700,mid-price,500,100,5.75,4,7.5,7.67,400,"4,443",,"11,610","1,046",784,121,126,244,177,116,200
English Setter,,sporting,,2.72,87,65,"$20,312",46%,,37,56%,11.57,52%,2,78%,$615,74%,$466,23%,2,75%,1,100%,,4.09,43,25,2.72,87,,large,no data,no data,62,24.5,,,Above average,15-25,>70,402,"deafness, hip problems","deafness, hip dysplasia",,,,"17,548",44%,615,budget,250,1000,5.75,4,7.5,7.67,400,"4,631",,"12,102","1,046",784,121,126,244,177,116,200
Pug,,toy,,2.72,26,26,"$18,527",68%,,57,29%,11.00,39%,1,89%,$469,92%,$405,63%,2,75%,1,100%,,4.09,42,24,2.72,26,,medium,7,16,41,16,,,Fair,40-80,>30,163,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",,,,"15,421",76%,469,budget,250,699,-,-,-,6,295,"3,246",,"11,505","1,046",784,121,126,244,177,116,200
Briard,,herding,,2.71,125,79,"$19,673",55%,,30,70%,11.17,43%,1,89%,$650,67%,$466,23%,1,50%,1,100%,,3.96,44,33,2.71,125,,large,no data,no data,62,24.5,,Only 2 puppies for sale,Above average,15-25,>70,71,hip problems,hip dysplasia,,,,"17,004",54%,650,budget,500,800,5.75,4,7.5,7.67,400,"4,471",,"11,683","1,046",784,121,126,244,177,116,200
Norfolk Terrier,,terrier,,2.71,120,76,"$24,308",10%,,56,30%,13.07,91%,0,100%,"$2,083",2%,$466,23%,2,75%,2,50%,,3.58,45,53,2.71,120,,small,5,12,24,9.5,,price: 9 puppies only,Fair,40-80,>30,324,none,none,,,,"21,185",7%,"2,083",high-end,250,2500,5.75,4,7.5,7.67,400,"5,231",,"13,671","1,046",784,121,126,244,177,116,200
Flat-Coated Retriever,,sporting,,2.7,90,67,"$16,000",90%,,18,82%,9.02,14%,0,100%,$600,77%,$466,23%,1,50%,1,100%,,3.95,46,34,2.70,90,,medium,no data,no data,59,23.25,,Price: 3 dogs only,Excellent,5-15,>85,1198,none,none,,,,"13,845",90%,600,budget,300,1200,5.75,4,7.5,7.67,400,"3,610",,"9,434","1,046",784,121,126,244,177,116,200
Boston Terrier,,non-sporting,,2.61,22,22,"$17,741",77%,,54,31%,10.92,38%,1,89%,$690,63%,$324,68%,2,75%,1,100%,,3.98,47,32,2.61,22,,medium,NA (3 classes),NA (3 classes),no data,no data,,,Average,25-40,>50,42,breathing problems,brachycephalic syndrome,,,,"15,352",77%,690,budget,400,1050,4,4,4,5.34,278,"3,041",,"11,422","1,046",784,121,126,244,177,116,200
