"","Author","Title","Text"
"23","Moni","Modern and Interactive exhibition","The exhibition is very modern and tries to represent the connection around the world using different topics such as the history, art and much more.Right at the beginning everyone gets a bracelet that tracks which decision one is taking and that will be analyzed and compared to the other visitors at the end. The exhibition displays the development which was influenced by historical events all over the world and by people of different cultures.The exhibition shows the global effect without which Berlin probably wouldn’t be that multicultural and open-minded as it is today. There are videos of foreigners and people who seem to be different than others in some peoples eyes taking about how life was like for them being treated differently often with much hate and how it has changed over time. This shows how people who were outcasts once, became part of the society as society has changed in the past due to many influences and changes in peoples mind. This is one example, but there are much more illustrations of how globality had a positive impact. The exhibition represents how people of different ethnic groups and ages enjoy time together through music or events and creating new styles by combining various cultural influences. This impact of mixing different cultures also influenced many other sectors. The first room illustrates the colonial past using scenes where people are fighting and discovering new areas, but also displaying a mixture of cultures by showing things that are typical for these countries and putting them together. We can see blood and destruction, but on the other hand there are also a lot of doves and broken chains that initiate a change. Furthermore, this room shows us that the world should stick together and reach for peace. Seeing that, one can also interpret that they want to express that challenges and hard times can be overcome when cultures are combined and creating a better world where people help each other.I really liked the turning table which combines history with modern technology with the thought of connecting people. Each piece containing a year has to be loaded by putting the hands under the table. This is can be easily done, when more people are helping. By turning the table, a year can be chosen to learn more about the events of that particular year which will then be shown on a screen around the table. Although I usually avoid going to exhibitions, I would recommend going to Berlin Global, because it is different compared to other exhibitions."
"24","AlessandraNazare, Portugal","Deep, emotional exhibition","Berlin Global is a very deep, touching and interesting as well as modern exhibition at the Humbold Forum. It was not my first visit and yet new aspects keep catching my eye.  It shows how Berlin is connected to the world and people from all over the world come together and connect. The many different exhibits, of the individual artists, embody the globality to which the name ""Berlin Global"" draws attention. I do not want to reveal too much to let everyone his personal first impression, so just a little something as a foretaste to the first room: In room 1, the wall graffiti refers to historical events and symbols from different cultures. The entire 360° of the room shows what happened in the colonial past and also who had to suffer from it, like how inhabitants trying to defend themselves with wooden spears against metal"
"25","Göktuğ ŞengünBerlin, Deutschland","Informative and interesting","Berlin is a city located in the heart of Europe and it is unavoidable not to be affected by many cultures. In Berlin Global, Berlin’s past is represented with various items such as videos, pictures. There I found information which is not only about Berlin. I learned how people live their lives differently even in similar locations. In different times of the world.In Room 1, the mural graffiti refers to historical events, symbols from various cultures, the events that the whole world is affected by. It shows what was done in the colonial past. For example, it shows how underdeveloped nations try to fight against guns with their wooden spears. It also depicts the effects of colonialism on nature. Historical characters that have huge effects on today's society are drawn in this graffiti."
"26","Amr shahinWelt","Explained how Berlin became what it is.","Exhibition „Berlin Global“I can recommend with confidence the exhibition Berlin Global for anyone interested in comprehending the city’s and worlds history, culture and identity through a new angle. The interactive exhibition located in the Humboldt forum near Alexander Platz is easy to reach (by bike it took me 6 mins) and because of its interactive approach and innovative storytelling adequate for people of all ages. The idea of following your own path through the exhibition by making choices and selecting specific situations is very impressive and something I have never seen before. You can clearly see the globality of this exhibition through different work of art and graffities one that really caught my attention was “My revolution” which covered major revolutionary events in the modern history like the Arab Spring revolutions.Throughout all rooms of the exhibition the observer is confronted with different topics that animate to question the positive and negative parts of globalization (not only specifically in berlin, but in the world) and if the city is as border-less, free and interconnected as it appears at first glance. For example, there is a large graffiti deals with many different subjects seen in the exhibition: from terrible events that shaped Europe such as the colonization racism & the realities of wars, to early scientific research and the relationship between humans and nature. All in all, the exhibition as a hole invites the observer to reflect where berlin is now a days and where society is heading."
"27","Jyoti PohanekarFrankfurt (Oder), Deutschland","Berlin Global","The exhibition has innately depicted several instalments which speaks about the  capital city of Germany. Showcasing the topics of history, times of World War, struggle of different troops during the time, devastating effects of the war, developments in the lifestyle, culture and many more. Installations are put together in a manner that they are somewhat interactive and pretty intriguing at the same time. For instance, the voting system throughout the exhibition was quite appealing, one has to choose between two doors with some questions like - “I want to help the world” and “I want to help my community” in order to enter a new section.  Some serious issues like Racism and transgender identity had also a special place at this exhibition. The section where it had the DJ mixer was one of my favourite sections, it said about the kind of music Berliners are used to listening to.     The colonial past is portrayed with the help of different paintings on the walls, various topics like exploitation, slavery, harassment, inequality were described through these murals."
"28","Christoph Weiland","The grafitti at the beginning is very cool","When entering the exhibition on is greeted with a room where all the walls are covered in a huge graffiti. Different events and effects of colonialism are shown in different parts of the graffiti. The division of countries by longitude and latitude instead of existing cultural realities and the war and destruction that  this devisions lead to, the destruction of non european history and works of arts, the horrors of slave trade, and the justification of discriminatory policies by ""seintific"" means. It is worth to spend a lot of time in this room, there are a lot of noticable detail.The rest of the exhibition feels a little like an exhibition on Berlin, its history and current state.  I was hoping for more detail on the various ways Berlin is globally connected. These connections were in the exhibition, but a little hidden some personal stories  of people comming to or going from Berlin as well of a few examples like how our clothes are produced. Every person visiting the exhibition got a bracelet whit which one could make some decisions during the exhibition. Ad the end one could compare the personal decisions with that of other visitors. A cool idea, but sadly there were a lot of technical problems."
"29","Jonas","Inspiring, but I miss more depth","Berlin Global attempts to show ways in which the world is connected. The exhibition highlights challenges the world faces and that need to be viewed in a global perspective, because they affect many people beyond country borders. It makes visitors aware of these issues, and encourages us to think about them and exchange our thoughts with other people. The exhibition succeeds in providing input for such discussions, however I do miss more depth in the presentation of some of the different themes. But as a general introduction, it works really well. The exhibition has a high degree of interactivity, lots of artwork and information to read. If you want the full experience, you could easily spend at least two hours here.In the first room, visitors can observe a large mural depicting scenes of European conquest. The painting shows different aspects of the history of this, such as the subjugation of land and people, the division of these areas among colonial powers and the subsequent exploitation of native populations and areas. However, the painting also portrays the brothers Wilhelm and Alexander von Humboldt and their shared interest in topics concerning global interconnection and diversity, showing appreciation for the uniqueness of all cultures, which stands in contrast to the general sentiment of the colonial past, where European cultures were viewed as superior.At the beginning of the exhibition, you also have the opportunity to receive a chip wristband that you wear throughout your visit. This is supposed to provide additional interactivity as well as give you the opportunity to find out more about yourself and the choices you make. However, in the end, this turned out to be more confusing and distracting than useful, and did not add much to the experience for me."
"30","Rustambek Rustambekov","Diversity as a norm","I see the exhibition ""Berlin Global"" as an excellent opportunity to understand the connection between Berlin's past and present. What I really like about this exhibition is that it does not represent the point of view of only one ethnic or cultural group; instead, the ""Berlin Global"" exhibition allows you to learn how people from different backgrounds perceive their lives and events in a different way. As for the organisational part of the exhibition, it includes various ways of communicating the events of the past, including texts, videos, graphics, interactive activities and games.My first impression of Global Berlin came from the room called ""Weltdenken"". It is very beautiful, with graffiti on the walls, and this modern designed room tells us the story of colonisation. I think it is no coincidence that this room is the first one, because it shows us clearly that we have to be aware of the events that happened in the past. It also shows that Germany is linked to the events that happened during the time of colonisation, namely exploitation, discrimination, but also exploration of the world. I think one of the points is that people on both sides of the historical events perceive these events differently. While the early Europeans may have seen colonisation as a key to continued growth, the colonised countries experienced a lot of suffering and pain. Basically, I think this play wants to remind us of those events that happened before us, so that we don't take for granted what we have now, but that we also remember that history has evolved for us in different ways. Ethnic and cultural diversity is one way of seeing Berlin as a global place. The people of Berlin come from a variety of ethnic, cultural and religious backgrounds. These differences, which at some points in history were seen as a border, are now seen as a choice to which every individual is equally entitled. As an example, I remember a video in which three women are having a very friendly conversation. What is specific to this video is that these women believe in three different religions, namely Christianity, Islam and Judaism. Although they come from different places, they recognise that there is nothing wrong with being different and they also show a desire to learn more about each other's culture. In addition, there were several charts on the wall on topics such as religious practices, arts, politics, etc., which show historical trends in a chronological way. Here we can see many historical events that happened in the past. Specifically, I remember when the first hippie community appeared in 1967. What is interesting is that it shows the interconnection between world events and Berlin's relationship to them. We could also see on the graph when the first hippie communities developed later in Germany. Below you can see some of the pictures I made on these graphs."
"31","Sandaara","Modern and informative interactive museum","Berlin Global is a quite interesting and modern museum. It shows how Berlin is connected to the world. The museum represents globality through many different interactive exhibition pieces. We can find there 7 main topics such as revolution, entertainment, war, fashion, boundaries, interconnection and free space. There is a huge globe in the first room that shows different points connected to each other. Also there are beautiful graffity all over the walls where we could see how the whole world was presented from the colonialism era till the present.At the doors(corners) there were questions that made us make decisions with our bracelets. Sometimes it was a little bit difficult to choose the right statement personally for me. And it made me think, and that is good. I learned lots about history, Berlin, fashion, art. It helps me to make sense of the world, cross the border, feel intertwining the lives of people from different countries by their stories. It took more that 3 hours to see all the beauties of this exhibition and think about globalization, art, people. Highly recommend to visit this place."
"32","Ekaterina G","Very interesting and informative","The exhibition was very interesting and informative, there were a lot of interactive objects, so it wasn't boring at all. The first room featured colorful graffiti painted on 4 walls. The first room featured colorful graffiti. I spent a long time looking at the walls, where there were pictures of warlike people, ships, weapons, maps, houses, animals, and aborigines. It was an exhibition on the theme of colonialism. The graffiti made me think of problems like looted art, pollution, and violence against the local population of the colonies. I was able to recognize famous figures such as the Humboldt brothers, Elector Friedrich Wilhelm, and Christopher Columbus, who are also connected to the history of colonization. I think that the exhibition is called ""Global Berlin"" because it raises important and global themes related to Berlin - a megalopolis of global significance.  Topics that are important for all humanity are presented at the exhibition. Revolution, Free Space, Borders, Entertainment, War, Fashion, and Interconnection.I really liked the bracelet voting idea. I was also fascinated by the time wheel."
"33","Jim M","Berlin indeed global","The globality of the ""Berlin Global"" is represented through 7 perspectives, namely through Revolution, Free Space, Boundaries, Entertainment, War, Fashion, and Interconnection. Each perspective showed how the city has impacted the world and at the same time how the world has impacted this great city.  I was imperessed by the graffiti in the first room which depicted different historic events starting with the 1492 with Christopher Columbus landing on the Bahamas, which basically was a starting point of the colonization of the New World, or depiction of the transportation of the slaves from one of the first German colony in Ghana to the new world or division of Africa by European powers, which resulted in the first genocide of the XXth century.  Also, it is interesting the way the authors of the mural showed how the colonial powers used science and scientists in their pursuit to more power and control."
"34","haerle","How are globality and  colonial past represented in ""Global Berlin""","How is globality represented in ""Global Berlin""?„Global Berlin“ shows many different parts of Berlin's globality. It represents globality through many different interactive and traditional exhibition pieces. The first room sets the mood for the theme with a giant globe that shows different points connected to each other. Global Berlin is divided into several different sections of various topics and shows the global aspects of each topic. For instance, the section ""Berlin Images"" shows Berlin's nightlife history of the 1920s and points out that many musicians from all over the world took part in its glorious time. Also, ""Berlin Images"" notes that break-dance rose in the 1980s on the streets of West- and East Berlin and therefore shaped Berlin's society ever since. The exhibition pieces are partly interactive by gathering information about the visitor’s opinion on certain subjects and reporting the answers at the end in comparison to other visitors’ answers. This interactive feature lets the visitor realize how they are influenced by globality in their everyday life and their attitude toward globality. The noninteractive exhibition pieces are short documentaries, paintings, and historical relics about positive aspects of globality in Berlin such as diversity, innovation, and progress but also negative aspects such as discrimination. How is the colonial past depicted in Room 1 “Weltdenken”?Room 1 shows a large mural in graffiti style and displays the different colonial divisions of the world. Even though it is in a graffiti style the mural was showing collage-like scenes of breaking with the colonial times and standing up against the system of injustice for which colonial times stand. These different little stories as part of the mural show for instance a pigeon, the forgiveness and freedom, flying away with a chain in its beak, leaving behind an empty cage. The statue of liberty is looking towards the scene while being blindfolded which reminds the observer of lady justice also known as goddess Justicia of roman mythology. The scene seems like a homage to the American revolution of overcoming the injustice of its colonial past."
"35","Jeffrey CHANSEAU","Learn more about Berlin's history in this interactive and innovative Museum","The Berlin Global exposition in the Humboldt Forum puts an emphasis on globality in the city of Berlin. In fact, Berlin due to its past but also to its capital status is a very cosmopolite city. The city even celebrates diversity every year at an even called “the Carnival of Cultures”.  The past explains nowadays’ diversity in Berlin. With the persecution of people (especially during the Nazi dictatorship), the city now understands the importance of accepting diversity.  The same reflection can be seen through colonialism. In the first room we can observe a painting on the right side representing the colonial past.  We can clearly see an opposition between the right side which is the local people defending its land with shields and more “traditional” weapons like knives, swords and spears, only a few of them have guns.  However, on the left side we have colonialists who are all equipped with guns, they are more equipped overall, and the battle is therefore unfair from the start. They are depicted as non-human beings as the look on their eyes is completely empty. We can also see a commander holding a map of Africa which we know for a fact, is part that was probably the most affected by colonialism. He is brandishing it as he is claiming the continent.  Overall, the colors chosen by the artist are really dark and pale, giving the painting a not so joyful atmosphere. A lot of black ink, dark purple, pink, red,… Diversity is also expressed through the art we can observe in Berlin. The city is known for its cultural diversity, in music, street art, or fashion.  The Humboldt Museum is itself related to Globality. The Humboldt brothers who founded the Museum were passionate about interconnections around the world. They loved to travel and speaks other languages. Therefore, the museum reflects their attraction towards globality."
"36","Sa S","Interactive Museum","In the different rooms, different topics are presented. Also the change of renting and housing is shown, as well as the change of lifestyle in Berlin.There was one interactive screen where it was possible to depict the connection that each individual visitor has to the world. Also there were some listening features, where different people talked about their lives. In one corner the whole sexuality and gender topic was present and how this changed over time. There was one condom automat. The import of rubber made it possible to produce those. The exploitation of other cultures has been pushed into the background for this topic. For the clothing corner that was more present. Also the topic of sustainability was present. The basic topics are Fashion, Revolution, Clearance, Borders, Amusement, War and Interconnection. Each subject is affected by globalization. All in all, the whole exhibition was more about history of Berlin than about Globality as its own. The entry walls and the wall on the left hand side depict different signs of the colonial past, especially slavery. It starts with the discovery of America in 1492 and ends with the exploitation of human capital.My favourite part of the exhibition was the decision making with the bracelets. At different corners or doors there were questions. The answers weren’t very precise, but it was interesting to see peoples answers. The summary of the answers at the end could have been a little bit more creative. "
"37","Katarzyna B","Modern view on the past (and not only)","Quite interesting modern museum, established in the classic building. Already the first room is very impressing, as it depicts colonial past of Germany (especially exciting for people from abroad). However, it is presented in the very up-to-date form with many interactive elements and large images in style of modern art. It is worth to advise to plan some time to narrowly analyse the whole mural and make our own interpretation of this. The thing I liked the most in this room was the possibility to read about Alexander von Humboldt, as well as about his less famous brother Wilhelm, and his attitude towards colonialism.In other rooms we can learn more about Berlin in global context. We will not find here many “typical” museum exhibits – there is many interactive elements there. Of course, we can come upon some older/ original items, like e.g. stands, made from the original, old photographs, presenting the war time or entertainment in the twenties. I personally enjoyed the most the area of the propagandist posters from the beginning of the 20s (what for sure depends on the interests). Reading them was very surprising for me, also a little bit funny and informative.Presented historical objects are quite well interacted with modern elements to make it easier for the visitor to see the place of Berlin in the global context. It allows to better understand the current place of Berlin, and Germany at all, in the world perspective. Because I don’t come from Germany, many issues were new for me and thus very informative. I liked the idea to present the history of the “globality” in Berlin and how it influences the present."
"38","Huy Tq","Overall interesting insights","Globality means to be connected, united and even working together to make the world a better place, even though deep down every individual is different or shares other interests. For this to work, being open to new things and changes is crucial.Berlin Global shows how Berlin is connected to the world. It divides GLOBALITY into 7 main topics such as revolution, free space, boundaries, entertainment, war, fashion and even interconnection.Berlin Global shows deep insights into the past and the process how Berlin has transformed to one of the most open cities in the world with people from all over the world calling it their home today.Berlin often promotes the feeling of being different or imperfect which implicates perfection and makes it the perfect place. The colonial past is described as a dark time in human history although it connected the world and promoted global trade as we know today. One may also say it was the beginning of globality."
"39","Cao Tuan Vo","Surprisingly engaging","The exhibition turned out to be fun and engaging. The interactive components helped me understand the presented information better and to feel in the past. The rooms were very big and going through each of them and actively engaging with the content was later a bit exhausting, however, given unlimited time it was still an enriching experience.     The first room was painted with graffiti which looked nice on the first sight but upon closer look it became apparent that the graffiti depicted an overall history of colonial past with the black-and-white drawings combined with pinkish background colours portraying typical moments and emotions of these periods – greed, stealing, killing, or exploitationBerlin Global exhibition tried to show the globality of Berlin through its culture, history and people. All the components helped to shape Berlin into the state it is nowadays, however, these components are also what connects people around the world.Definitely recommend it!"
"40","Ama Frimpomaa K-MFrankfurt (Oder), Deutschland","History and globilization brought to life.","My personal impression about the Humboldt Museum is a good one. In my opinion, the pieces and artefacts in the museum truly depicts the theme “Berlin Global”. Alexander von Humboldt described the world as an ecosystem in which everything is interconnected and I believe this statement is the central idea of globality. The first picture attached was the most memorable pictures I took at the exhibition. Interestingly, I did not expect to see a common household item from my home country at the exhibition. This artefact although small truly depicts globality to me. It brought a sense of belongingness. The display of very sentimental objects from all over the world stimulates interaction and promotes a deeper understanding among people of the world. I was also impressed about how candid the interviews were. From the few I listened to, I realized that although people are learning to respect and accept different cultures, there are still so many conservatives who are not willingly to accept people for who they are.The mural depicts the role the colonial past played in bringing the world together. The bonds between continents date back centuries. World wars, slavery and other world events played a huge role in the centralization of cultureThe world is indeed a global village and Humboldt truly depicts how much the world has evolved, the role the colonial past plays in globality and learning to accept and respect different cultures."
"41","Christine YenFrankfurt (Oder), Deutschland","Highly Recommended Berlin Global","The exhibition made me aware of some perspectives neglected in my surroundings. I have constantly felt like an outsider in Germany since I was a foreigner. Subtle things such as friends hanging out in the Mauerpark, seeing graffiti on the street, listening to people talk about the east and the west Berlin, or the rental price is never rising to make me think about the background behind it and what it relates. I have never lived in Berlin, but I spent six years in Frankfurt (Oder). At first, I was not expecting myself to be able to comprehend the concept that this exhibition wanted to deliver. However, many things rang a bell, and I started feeling related. That was when I realized that I am part of the community as well. As presented in the first room, Thinking the World, they reinforced the idea that we are the world, and colonialism shaped many thoughts and actions we have now. The greed of human beings in history tells us the consequence and the price it came along. My country, Taiwan, was colonized by several nations before. And now I am living in Germany, where it inhabited other places. But now, people worldwide gather and live in this community and share the same territory. However, the boundaries created in the past still exist nowadays. Also, what I like about the exhibition is that they cover different angles toward the big picture. It can be that you are listening to someone else’s story, but the next place you arrive, you are listening to your own. The exhibition emphasizes the disturbance of cultures, humanities, environment, interaction, etc., that resulted from the colonial past. Regarding the option of collecting our thoughts throughout the exhibition, my result showed me that my primary value lies in security. I feel like a foreigner in Germany, and those boundaries often exclude me. However, if I return to Taiwan and think about this question again, I may say that the limits make me feel safe. This exhibition allows me to think from a different point of view. It encouraged me to learn from the past and make better decisions for the future."
"42","Ines Soler","Very nice and educational experience.","Two weeks ago I visited the ""Berlin Global"" exhibition at the Humboldt Forum. From my point of view, globality was explained in a very visual way and represented as a combination of all aspects of the worldwide life and historial events. We learned the most important things that normally people see as a characteristic of the city of Berlin as can be entertainment, free spaces, war, interconnection… and why are these its characteristics from its historical background.It is a huge exposition but I think it is worth to talk about the first room where we could see how the whole world was represented through graffiti all over the walls, from the colonialism era until the present. There we could see representations of different economic, cultural and personal ties between cities and continents such as the linguistic diversity, cultural hierarchies, education, interaction and interconnections between nature and culture, wars, pollution issues and many more. At the end, I think that one of the aims of this room is to make us aware of how taking responsibility as a world citizen, global networks, respect for other cultures and diversity, awareness and education can help to avoid divisions, to tackle the challenges of a global present and future, to discover new perspectives on the world and to break the chains of the past in order to evolve to a better and liberated future."
"43","Hendrik KuehnBerlin, Deutschland","Modern and Interactive Exhibition","How’s globality represented in Berlin global?In the exhibition there are several rooms that represent the globality of Berlin in a unique way. Each room tells its own story and reflects the specificity of the city. In total, the space is divided into 7 thematic complexes that represent globality: Revolution, Free Space, Boundaries, Entertainment, War, Fashion and Interconnection. Every room shows how Berlin has affected the world in the past, and now also in the present. Personally Room “Entertainment” impressed most. Berlin’s entertainment culture has always thrived on communicating with the world. Music and dance, theatre and cinema draw on a wide variety of influences. From tango to techno, from swing to hip-hop Berlin’s dancefloors play musical styles from all over the world. How’s the colonial past depicted in Room 1 “Weltdenken” ? First, the graffiti deals with the European journeys of exploration and conquest around 1500. Sent by European rulers, seafarers claimed possession of regions they reached. Enslavement of millions of people and global trade in raw materials boosted the economies of Europe and North America. Further, Wilhelm and Alexander von Humboldt are seen on the mural. Both were interested in global topics throughout their lives. Wilhelm studied more than seventy languages whereas Alexander loved to travel. Finally, the grafitti shows how the German empire began claiming colonies in Africa, Asia and the Pacific in 19th century. Cultural treasures and everyday objects from the colonies landed in European museums often questionable means."
"44","Kateryna HFrankfurt (Oder), Deutschland","Top exhibition in Berlin","Last month I attended exhibition ""Berlin Global"" in Humboldt Forum, which was dedicated to the diversity and differences within the city (in many spheres e.g. cultural, sexual etc.). I was indeed impressed by this exhibition as I usually do not expect much of such cultural events (mainly because normally they contain overwhelmingly much theoretical information that is hard to digest in a couple of hours).However, “Berlin Global” is a completely different case. Right from the beginning there were a lot of different installations that were interesting to explore. I was especially impressed by the scale of this Berlin’s diversity and globality – it feels in everything. Starting from the obvious thing – the Wall, built to divide people and separate them from each other, and moving on to gender differences and cultural diversity – all these represent diverse network world, existing in Berlin.I was fascinating to explore how people protested against inequality, against racial prejudice – and all that happened in one German city. At this time, you can fully understand why people call Berlin a global city – here all is mixed together, people from many countries, with different attitudes toward the life in general – and everyone feels comfortable.Particularly interesting was to understand that this diversity and globality is not a recent trend. On the contrary, Berlin used to be brutal and free city for a long time. In the Room 1 “Weltdenken” the large geometrical black figure with different white lines can be seen, which, from my point of view, represents different footprints left from people all around the world.Below, I am including several photos that I like the most – all of them highlight the globality of Berlin, it is traceable in different ways in each installation.Overall, I am extremely satisfied with the excursion; I understood the capital of Germany deeper, and I can only recommend visiting “Berlin Global”."
"45","Omar abu risheh","Informative and aesthetically pleasing","Berlin Global combines modernity and history in it's different halls, on one hand you learn about historical events around the globe which gives the globality the exhibition wishes to convey on its visitors and on the other hand it has interactive areas where the visitor needs to make a decision which sometimes could be an ethical or personal dilemma.In one of the rooms an aesthetically pleasing mural is depicting the colonial past in different parts of the world such as Africa whilst being mixed with different historical events in an artistic fashion thus combining the problems of the world in the past in a way that we can relate to in this day and age.All in all a great experience and would definitely recommend a visit."
"46","Marco KFrankfurt (Oder), Deutschland","Modern and Eyecatching YES, Global PERHAPS","Berlin Global feels very modern. It combines historic information and stories with modern art and design plus interactive features. The interation comes from decision you can make on your own as well as interactive elements such as the wheel that requires about 5 people to start a video sequence. It triggers interaction between visitors and people who are normally strangers who would not have interacted otherwise. I think it is definitely suitable for school classes and seminar groups (education price is free). It's educational and fun. Although it covers some of the darktest parts of history. From my perspective, it makes sense to attract normal people first by art or eye-catcher and confront them step by step with the historic stories and elements. Overall, the visit has been an exiting trip and I recommend people to attend this exibition at the heart of Berlin."
